mesh_id,descriptor_name,tree_number,parent_tree_number,parent_id,parent_name
D000069616,Simeprevir,D02.886.590.700.700,D02,D009930,Organic Chemicals
D000069616,Simeprevir,D03.633.300.819,D03,D006571,Heterocyclic Compounds
D065688,Cytochrome P-450 CYP2C9 Inhibitors,D27.505.389.500.315,D27,D020164,Chemical Actions and Uses
D019320,"Embolism, Paradoxical",C14.907.355.590.400,C14,D002318,Cardiovascular Diseases
D020849,Raloxifene Hydrochloride,D02.455.426.559.389.150.700.900.775,D02,D009930,Organic Chemicals
D006009,Glycogen Storage Disease Type II,C10.228.140.163.100.435.340,C10,D009422,Nervous System Diseases
D006009,Glycogen Storage Disease Type II,C16.320.565.189.435.340,C16,D009358,"Congenital, Hereditary, and Neonatal Diseases and Abnormalities"
D006009,Glycogen Storage Disease Type II,C18.452.132.100.435.340,C18,D009750,Nutritional and Metabolic Diseases
D019832,N-Methylscopolamine,D02.145.074.722.822.550,D02,D009930,Organic Chemicals
D019832,N-Methylscopolamine,D03.132.889.601.550,D03,D006571,Heterocyclic Compounds
D013840,Thiamylal,D03.383.742.698.253.800.750,D03,D006571,Heterocyclic Compounds
D011688,Purinones,D03.633.100.759.758,D03,D006571,Heterocyclic Compounds
D064586,Selenic Acid,D01.810.449,D01,D007287,Inorganic Chemicals
D015094,3-Hydroxyacyl CoA Dehydrogenases,D08.811.682.047.820.150,D08,D045762,Enzymes and Coenzymes
D006888,Hydroxycholesterols,D04.210.500.247.222.284.800.500,D04,D011083,Polycyclic Compounds
D006888,Hydroxycholesterols,D10.570.938.208.825.500,D10,D008055,Lipids
D053281,Enediynes,D02.455.326.271.244,D02,D009930,Organic Chemicals
D000099163,Myosin Binding Protein C,D12.776.220.695,D12,D000602,"Amino Acids, Peptides, and Proteins"
D000077868,Atrasentan,D03.383.246.118.300,D03,D006571,Heterocyclic Compounds
D003372,Coumaphos,D02.705.400.625.120,D02,D009930,Organic Chemicals
D003372,Coumaphos,D03.383.663.283.446.912.326,D03,D006571,Heterocyclic Compounds
D007729,Kuru,C01.207.800.435,C01,D007239,Infections
D007729,Kuru,C10.228.228.800.435,C10,D009422,Nervous System Diseases
D000662,Amphetamines,D02.092.471.683.152,D02,D009930,Organic Chemicals
D065130,Endothelin A Receptor Antagonists,D27.505.519.364.500,D27,D020164,Chemical Actions and Uses
D015865,Racquet Sports,I03.450.642.845.600,I03,D006802,Human Activities
D013230,Stearoyl-CoA Desaturase,D08.811.682.690.708.392.625,D08,D045762,Enzymes and Coenzymes
D000067758,Glucagon-Like Peptide-2 Receptor,D12.776.543.750.695.021.600,D12,D000602,"Amino Acids, Peptides, and Proteins"
D006502,Budd-Chiari Syndrome,C06.552.347,C06,D004066,Digestive System Diseases
D006502,Budd-Chiari Syndrome,C14.907.355.830.925.275,C14,D002318,Cardiovascular Diseases
D047013,Clostridium botulinum type A,B03.300.390.400.200.160.050,B03,D001419,Bacteria
D002777,Cholestanols,D04.210.500.247.100,D04,D011083,Polycyclic Compounds
D020867,omega-Agatoxin IVA,D12.644.400.562,D12,D000602,"Amino Acids, Peptides, and Proteins"
D020867,omega-Agatoxin IVA,D20.888.065.870.324.500,D20,D045424,Complex Mixtures
D020867,omega-Agatoxin IVA,D23.946.833.065.870.324.500,D23,D001685,Biological Factors
D057966,Calcimimetic Agents,D06.347.230,D06,D006730,"Hormones, Hormone Substitutes, and Hormone Antagonists"
D057966,Calcimimetic Agents,D27.505.696.399.450.230,D27,D020164,Chemical Actions and Uses
D001388,Aziridines,D03.383.097.217,D03,D006571,Heterocyclic Compounds
D058921,Purinergic P2Y Receptor Antagonists,D27.505.519.625.725.400.200.200,D27,D020164,Chemical Actions and Uses
D004360,"Drug Therapy, Computer-Assisted",E02.319.335,E02,D013812,Therapeutics
D004360,"Drug Therapy, Computer-Assisted",L01.313.500.750.100.710.180,L01,D007254,Information Science
D009326,Naval Medicine,H02.403.560,H02,D006281,Health Occupations
D042462,4-Quinolones,D03.633.100.810.835.830,D03,D006571,Heterocyclic Compounds
D044045,Lipoxins,D10.251.355.255.375,D10,D008055,Lipids
D007577,JC Virus,B04.280.210.700.615.400,B04,D014780,Viruses
D030181,Vitamin D Response Element,G02.111.570.080.689.330.700.920,G02,D055598,Chemical Phenomena
D030181,Vitamin D Response Element,G05.360.080.689.330.700.920,G05,D055614,Genetic Phenomena
D007650,Ketanserin,D03.383.621.365,D03,D006571,Heterocyclic Compounds
D017003,Torovirus,B04.820.578.500.540.800,B04,D014780,Viruses
D065067,Antihyperkalemic Agents,D27.505.696.560.374,D27,D020164,Chemical Actions and Uses
D002928,Cinanserin,D02.241.223.200.200,D02,D009930,Organic Chemicals
D032410,Lantana,B01.875.800.575.912.250.583.990.411,B01,D056890,Eukaryota
D061105,Peroxiredoxin III,D08.811.682.732.850.249,D08,D045762,Enzymes and Coenzymes
D061105,Peroxiredoxin III,D12.776.575.812,D12,D000602,"Amino Acids, Peptides, and Proteins"
D011377,Proglumide,D12.125.068.330.700,D12,D000602,"Amino Acids, Peptides, and Proteins"
D042964,Acyl-CoA Dehydrogenase,D08.811.682.660.150.100,D08,D045762,Enzymes and Coenzymes
D042964,Acyl-CoA Dehydrogenase,D12.776.331.099,D12,D000602,"Amino Acids, Peptides, and Proteins"
D058646,Adrenergic alpha-1 Receptor Agonists,D27.505.519.625.050.100.100.100,D27,D020164,Chemical Actions and Uses
D011224,Prazosin,D03.633.100.786.750,D03,D006571,Heterocyclic Compounds
D000077731,Meropenem,D02.065.589.099.124.300.750,D02,D009930,Organic Chemicals
D000077731,Meropenem,D03.633.100.300.124.300.750,D03,D006571,Heterocyclic Compounds
D000080051,Community-Based Health Insurance,N03.219.521.576.343.108,N03,D004472,Health Care Economics and Organizations
D050495,Vesicular Inhibitory Amino Acid Transport Proteins,D12.776.157.530.450.162.887.750,D12,D000602,"Amino Acids, Peptides, and Proteins"
D060754,Equol,D03.633.100.150.266.450.400.281,D03,D006571,Heterocyclic Compounds
D061889,Healthcare Financing,N03.219.483.500,N03,D004472,Health Care Economics and Organizations
D011163,Hydroxymethylbilane Synthase,D08.811.913.225.575,D08,D045762,Enzymes and Coenzymes
D050492,Vesicular Biogenic Amine Transport Proteins,D12.776.157.530.450.162.887.500,D12,D000602,"Amino Acids, Peptides, and Proteins"
D044067,"Receptors, Lipoxin",D12.776.543.750.695.200.575,D12,D000602,"Amino Acids, Peptides, and Proteins"
D011724,Pyridazines,D03.383.710,D03,D006571,Heterocyclic Compounds
D018500,"Diabetes Insipidus, Nephrogenic",C12.050.351.968.419.135.500,C12,D000091642,Urogenital Diseases
D053447,Channelopathies,C23.550.177,C23,D013568,"Pathological Conditions, Signs and Symptoms"
D000067490,Prescription Drug Overuse,C25.775.342.500.750,C25,D064419,Chemically-Induced Disorders
D000067490,Prescription Drug Overuse,F03.900.384.500.750,F03,D001523,Mental Disorders
D065087,Acetylcholine Release Inhibitors,D27.505.519.562.061,D27,D020164,Chemical Actions and Uses
D025782,"Hydroxymethylglutaryl-CoA-Reductases, NADP-dependent",D08.811.682.047.820.150.415.750,D08,D045762,Enzymes and Coenzymes
D018722,Nicotinic Agonists,D27.505.519.625.120.140.700,D27,D020164,Chemical Actions and Uses
D000077432,Tapentadol,D02.455.426.559.389.657.926,D02,D009930,Organic Chemicals
D012717,Sesquiterpenes,D02.455.849.765,D02,D009930,Organic Chemicals
D014808,Vitamin D Deficiency,C18.654.521.500.133.770,C18,D009750,Nutritional and Metabolic Diseases
D004048,Diethylamines,D02.092.471.302,D02,D009930,Organic Chemicals
D009939,"Organizations, Nonprofit",N03.540.630,N03,D004472,Health Care Economics and Organizations
D012295,Rift Valley Fever,C01.436.430.812,C01,D007239,Infections
D012295,Rift Valley Fever,C06.552.380.315.430.812,C06,D004066,Digestive System Diseases
D012295,Rift Valley Fever,C22.467.435.812,C22,D000820,Animal Diseases
D046849,Nimaviridae,B04.280.505,B04,D014780,Viruses
D047968,Clostridium botulinum type C,B03.300.390.400.200.160.150,B03,D001419,Bacteria
D050493,Vesicular Monoamine Transport Proteins,D12.776.157.530.450.162.887.500.500,D12,D000602,"Amino Acids, Peptides, and Proteins"
D047228,Angiotensin II Type 1 Receptor Blockers,D27.505.519.162.500,D27,D020164,Chemical Actions and Uses
D006947,Hyperkalemia,C18.452.950.396,C18,D009750,Nutritional and Metabolic Diseases
D014282,Trihexyphenidyl,D03.383.621.900,D03,D006571,Heterocyclic Compounds
D009498,Neurotoxins,D27.888.569.504,D27,D020164,Chemical Actions and Uses
D011170,"Portasystemic Shunt, Surgical",E04.035.760,E04,D013514,"Surgical Procedures, Operative"
D000078742,Substandard Drugs,D26.894,D26,D004364,Pharmaceutical Preparations
D050891,Oxidoreductases Acting on CH-NH2 Group Donors,D08.811.682.664,D08,D045762,Enzymes and Coenzymes
D015286,Kassinin,D12.644.276.812.900.475,D12,D000602,"Amino Acids, Peptides, and Proteins"
D015286,Kassinin,D23.469.050.375.850.400,D23,D001685,Biological Factors
D004617,Embolism,C14.907.355.350,C14,D002318,Cardiovascular Diseases
D000069476,Linagliptin,D03.633.100.759.562,D03,D006571,Heterocyclic Compounds
D011191,Potassium Deficiency,C18.654.521.500.617,C18,D009750,Nutritional and Metabolic Diseases
D010840,Phytosterols,D04.210.500.247.808.756,D04,D011083,Polycyclic Compounds
D010840,Phytosterols,D10.570.938.795,D10,D008055,Lipids
D010840,Phytosterols,D23.704.500,D23,D001685,Biological Factors
D000098525,Coccidioidal Meningitis,C01.150.703.181.500.250,C01,D007239,Infections
D000098525,Coccidioidal Meningitis,C10.228.228.198.500.250,C10,D009422,Nervous System Diseases
D013617,"Tachycardia, Supraventricular",C14.280.067.845.880,C14,D002318,Cardiovascular Diseases
D013617,"Tachycardia, Supraventricular",C23.550.073.845.880,C23,D013568,"Pathological Conditions, Signs and Symptoms"
D065631,"Rhinitis, Allergic",C08.460.799.315,C08,D012140,Respiratory Tract Diseases
D065631,"Rhinitis, Allergic",C09.603.799.315,C09,D010038,Otorhinolaryngologic Diseases
D065631,"Rhinitis, Allergic",C20.543.480.680.443,C20,D007154,Immune System Diseases
D004857,Equilin,D04.210.500.365.415.220,D04,D011083,Polycyclic Compounds
D004857,Equilin,D06.472.334.851.437.374,D06,D006730,"Hormones, Hormone Substitutes, and Hormone Antagonists"
D012103,Batroxobin,D08.811.277.656.300.760.955.135,D08,D045762,Enzymes and Coenzymes
D012103,Batroxobin,D20.888.850.960.200.105,D20,D045424,Complex Mixtures
D012103,Batroxobin,D23.946.833.850.960.200.105,D23,D001685,Biological Factors
D047490,Retinoid X Receptor alpha,D12.776.826.701.500.500,D12,D000602,"Amino Acids, Peptides, and Proteins"
D000094684,Navajo People,M01.270.968.500.600.531,M01,D009272,Persons
D000081026,Polyprenols,D02.033.687,D02,D009930,Organic Chemicals
D002747,Chlorpropamide,D02.065.884.060.040,D02,D009930,Organic Chemicals
D000218,Adamantane,D02.455.426.100.050,D02,D009930,Organic Chemicals
